 
11 February  2008   5:05:58.508 PM      
 
TOMS322_PRB
  FORTRAN77 version
 
  Test ACM TOMS algorithm 322.
 
TEST01

               Testing two-tailed normal distribution

    N1   N2       X      P-Exp       P-Calc      E-Diff     E-Rel
    10   20    3.8470  0.5000E-02  0.5000E-02  0.1326E-07   0.000
    10  120    2.7052  0.5000E-02  0.5000E-02  0.2084E-07   0.000
    20    124836.0000  0.5000E-02  0.5000E-02  0.2817E-08   0.000
    20    2  199.4500  0.5000E-02  0.5000E-02  0.1015E-07   0.000
    20   10    5.2740  0.5000E-02  0.5000E-02  0.6205E-07   0.000
    20   20    3.3178  0.5000E-02  0.5000E-02  0.1265E-06   0.000
    20  120    2.1881  0.5000E-02  0.5000E-02  0.1478E-06   0.000
   120    125359.0000  0.5000E-02  0.5000E-02  0.4194E-07   0.000
   120    2  199.4900  0.5000E-02  0.5000E-02  0.3120E-07   0.000
   120   10    4.7501  0.5000E-02  0.5000E-02  0.1201E-06   0.000
   120   20    2.8058  0.5000E-02  0.5000E-02  0.4971E-07   0.000
   120  120    1.6055  0.5000E-02  0.5000E-02  0.3335E-06   0.000
     1    1 4052.2000  0.1000E-01  0.1000E-01  0.2358E-07   0.000
     1    2   98.5030  0.1000E-01  0.1000E-01  0.4836E-07   0.000
     1   10   10.0440  0.1000E-01  0.1000E-01  0.7764E-06   0.000
     1   20    8.0960  0.1000E-01  0.1000E-01  0.1624E-06   0.000
     1  120    6.8510  0.1000E-01  0.9999E-02  0.5624E-06   0.000
     2    1 4999.5000  0.1000E-01  0.1000E-01  0.2235E-09   0.000
     2    2   99.0000  0.1000E-01  0.1000E-01  0.2235E-09   0.000
     2   10    7.5594  0.1000E-01  0.1000E-01  0.1279E-06   0.000
     2   20    5.8489  0.1000E-01  0.1000E-01  0.2027E-06   0.000
     2  120    4.7865  0.1000E-01  0.1000E-01  0.9064E-07   0.000
    10    1 6055.7998  0.1000E-01  0.1000E-01  0.3895E-07   0.000
    10    2   99.3990  0.1000E-01  0.1000E-01  0.1961E-07   0.000
    10   10    4.8492  0.1000E-01  0.1000E-01  0.3934E-06   0.000
    10   20    3.3682  0.1000E-01  0.1000E-01  0.2034E-06   0.000
    10  120    2.4721  0.1000E-01  0.9999E-02  0.6860E-06   0.000
    20    1 6208.7002  0.1000E-01  0.1000E-01  0.2440E-07   0.000
    20    2   99.4900  0.1000E-01  0.9996E-02  0.4081E-05   0.000
    20   10    4.4054  0.1000E-01  0.1000E-01  0.4272E-07   0.000
