20060111  062810.000
 
TOMS392_PRB
  Test TOMS algorithm 392, which approximates
  the time evolution of a system governed
  by hyperpolic PDE's.
1
 
       X               Y               U               V
    0.667533        0.935569E-01    0.364232         3.88176    
    0.680151        0.948134E-01    0.373801         3.93059    
    0.692771        0.960837E-01    0.383604         3.98003    
    0.705396        0.973706E-01    0.393665         4.03008    
    0.718024        0.986700E-01    0.403970         4.08077    
    0.730654        0.999868E-01    0.414537         4.13210    
    0.743288        0.101316        0.425376         4.18407    
    0.755926        0.102665        0.436494         4.23670    
    0.768567        0.104025        0.447892         4.28999    
    0.781212        0.105405        0.459578         4.34394    
    0.793860        0.106797        0.471559         4.39858    
    0.806512        0.108209        0.483852         4.45390    
    0.819168        0.109635        0.496451         4.50992    
    0.831828        0.111080        0.509378         4.56665    
    0.844492        0.112541        0.522628         4.62409    
    0.857159        0.114018        0.536214         4.68225    
    0.869832        0.115516        0.550140         4.74114    
    0.882509        0.117027        0.564422         4.80077    
    0.895190        0.118559        0.579071         4.86115    
    0.907876        0.120109        0.594096         4.92229    
    0.920566        0.121677        0.609491         4.98421    
    0.933261        0.123264        0.625285         5.04689    
    0.945962        0.124867        0.641491         5.11037    
    0.958667        0.126491        0.658103         5.17465    
    0.971377        0.128136        0.675135         5.23973    
    0.984093        0.129797        0.692588         5.30563    
1
    0.571212E-01    0.922916E-01    0.195155         2.10855    
    0.697491E-01    0.937855E-01    0.200826         2.13505    
    0.823809E-01    0.952923E-01    0.206637         2.16188    
    0.950168E-01    0.968128E-01    0.212593         2.18905    
    0.107657        0.983471E-01    0.218700         2.21656    
    0.120301        0.998955E-01    0.224956         2.24442    
    0.132949        0.101458        0.231372         2.27263    
    0.145602        0.103036        0.237948         2.30120    
    0.158259        0.104628        0.244691         2.33012    
    0.170921        0.106235        0.251602         2.35941    
    0.183587        0.107857        0.258683         2.38907    
    0.196258        0.109496        0.265947         2.41910    
    0.208933        0.111150        0.273392         2.44951    
    0.221614        0.112822        0.281025         2.48030    
    0.234299        0.114509        0.288849         2.51148    
    0.246990        0.116213        0.296875         2.54306    
    0.259685        0.117934        0.305097         2.57503    
    0.272387        0.119673        0.313534         2.60740    
    0.285093        0.121429        0.322180         2.64018    
    0.297805        0.123204        0.331045         2.67337    
    0.310523        0.124997        0.340140         2.70698    
    0.323246        0.126807        0.349465         2.74101    
    0.335976        0.128638        0.359019         2.77548    
    0.348712        0.130486        0.368809         2.81037    
    0.361454        0.132355        0.378856         2.84571    
    0.374202        0.134243        0.389162         2.88149    
    0.386957        0.136151        0.399725         2.91772    
    0.399718        0.138079        0.410558         2.95440    
    0.412486        0.140028        0.421666         2.99155    
    0.425262        0.141998        0.433046         3.02917    
    0.438044        0.143989        0.444730         3.06726    
    0.450834        0.146000        0.456708         3.10583    
    0.463631        0.148035        0.468986         3.14488    
    0.476436        0.150091        0.481570         3.18442    
    0.489249        0.152169        0.494489         3.22446    
    0.502069        0.154270        0.507730         3.26501    
    0.514899        0.156395        0.521304         3.30607    
    0.527736        0.158542        0.535227         3.34764    
    0.540583        0.160714        0.549514         3.38973    
    0.553438        0.162908        0.564162         3.43236    
    0.566302        0.165127        0.579181         3.47552    
    0.579176        0.167370        0.594587         3.51922    
    0.592059        0.169638        0.610378         3.56348    
    0.604951        0.171932        0.626575         3.60829    
    0.617853        0.174249        0.643178         3.65367    
    0.630767        0.176596        0.660218         3.69961    
    0.643691        0.178967        0.677685         3.74614    
    0.656624        0.181364        0.695607         3.79324    
    0.669570        0.183789        0.713989         3.84095    
    0.682526        0.186239        0.732830         3.88925    
    0.695494        0.188719        0.752162         3.93816    
    0.708474        0.191224        0.771981         3.98768    
    0.721466        0.193760        0.792303         4.03783    
    0.734470        0.196323        0.813168         4.08861    
    0.747488        0.198916        0.834563         4.14003    
    0.760518        0.201535        0.856481         4.19209    
    0.773561        0.204188        0.878988         4.24481    
    0.786618        0.206868        0.902080         4.29819    
    0.799690        0.209581        0.925721         4.35225    
    0.812775        0.212320        0.950024         4.40698    
    0.825875        0.215092        0.974946         4.46240    
    0.838991        0.217898         1.00049         4.51852    
    0.852121        0.220731         1.02666         4.57534    
    0.865268        0.223599         1.05352         4.63289    
    0.878431        0.226500         1.08110         4.69115    
    0.891609        0.229429         1.10935         4.75014    
    0.904806        0.232396         1.13864         4.80988    
    0.918019        0.235395         1.16810         4.87037    
    0.931250        0.238426         1.19863         4.93161    
    0.944500        0.241497         1.23000         4.99363    
    0.957769        0.244597         1.26223         5.05643    
    0.971056        0.247733         1.29522         5.12003    
    0.984362        0.250907         1.32881         5.18441    
1
    0.915464E-01    0.142573        0.311426         2.16949    
    0.104351        0.144840        0.320419         2.19673    
    0.117164        0.147127        0.329639         2.22431    
    0.129987        0.149435        0.339094         2.25223    
    0.142819        0.151764        0.348787         2.28052    
    0.155660        0.154114        0.358720         2.30916    
    0.168511        0.156485        0.368900         2.33815    
    0.181373        0.158879        0.379349         2.36752    
    0.194245        0.161295        0.390054         2.39725    
