



               TESTING THE FUNCTION ABRAM0

     ARGUMENT             ABS. ERROR             REL. ERROR
      -0.0313            0.00000D+00            0.00000D+00
       0.0625            0.69389D-17            0.11107D-15
       0.1250            0.00000D+00            0.00000D+00
      -0.2500            0.00000D+00            0.00000D+00
       0.5000            0.00000D+00            0.00000D+00
       1.0000            0.00000D+00            0.00000D+00
       1.5000            0.22204D-15            0.17416D-15
      -2.0000            0.22204D-15            0.14089D-15
       4.0000            0.44409D-15            0.18306D-15
       8.0000            0.88818D-15            0.26191D-15
      16.0000            0.88818D-15            0.20105D-15
     -20.0000            0.00000D+00            0.00000D+00
      25.0000            0.88818D-15            0.17428D-15
      30.0000            0.00000D+00            0.00000D+00
     -50.0000            0.88818D-15            0.14407D-15
     100.0000            0.88818D-15            0.12261D-15




               TESTING THE FUNCTION BIRINT

     ARGUMENT             ABS. ERROR             REL. ERROR
     -12.0000            0.23939D-15            0.13555D-13
     -10.0000            0.38858D-15            0.25836D-13
      -8.0000            0.83267D-16            0.56427D-14
      -7.5000            0.27756D-16            0.23428D-15
      -7.0000            0.12490D-15            0.19240D-14
      -6.5000            0.30531D-15            0.31391D-14
      -4.0000            0.21511D-15            0.42377D-14
      -1.0000            0.00000D+00            0.00000D+00
      -0.2500            0.00000D+00            0.00000D+00
      -0.0020            0.00000D+00            0.00000D+00
       0.0020            0.00000D+00            0.00000D+00
       0.5000            0.55511D-16            0.15194D-15
       1.0000            0.22204D-15            0.25441D-15
       4.0000            0.71054D-14            0.14736D-15
       8.0000            0.00000D+00            0.00000D+00
       8.5000            0.18626D-08            0.10578D-14
       9.0000            0.93132D-09            0.12623D-15
      10.0000            0.68545D-06            0.46374D-14
      12.0000            0.12207D-03            0.12580D-14
      14.0000            0.10938D+00            0.94023D-15




               TESTING THE FUNCTION CLAUSN

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.00000D+00            0.00000D+00
       0.0313            0.00000D+00            0.00000D+00
      -0.1250            0.00000D+00            0.00000D+00
       0.5000            0.11102D-15            0.13087D-15
       1.0000            0.00000D+00            0.00000D+00
      -1.5000            0.11102D-15            0.11821D-15
       2.0000            0.22204D-15            0.30536D-15
       2.5000            0.00000D+00            0.00000D+00
      -3.0000            0.73552D-15            0.75033D-14
       4.0000            0.33307D-15            0.58624D-15
       4.2500            0.22204D-15            0.31287D-15
      -5.0000            0.33307D-15            0.33548D-15
       5.5000            0.22204D-15            0.22628D-15
       6.0000            0.11102D-15            0.17326D-15
       8.0000            0.22204D-15            0.25811D-15
     -10.0000            0.27756D-15            0.71038D-15
      15.0000            0.33307D-15            0.70009D-15
      20.0000            0.44409D-15            0.43947D-15
     -30.0000            0.00000D+00            0.00000D+00
      50.0000            0.00000D+00            0.00000D+00




               TESTING THE FUNCTION DEBYE1

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.00000D+00            0.00000D+00
       0.0313            0.00000D+00            0.00000D+00
       0.1250            0.22204D-15            0.22910D-15
       0.5000            0.22204D-15            0.25177D-15
       1.0000            0.00000D+00            0.00000D+00
       1.5000            0.22204D-15            0.32361D-15
       2.0000            0.00000D+00            0.00000D+00
       2.5000            0.22204D-15            0.41212D-15
       3.0000            0.55511D-16            0.11554D-15
       4.0000            0.55511D-16            0.14302D-15
       4.2500            0.00000D+00            0.00000D+00
       5.0000            0.55511D-16            0.17300D-15
       5.5000            0.00000D+00            0.00000D+00
       6.0000            0.00000D+00            0.00000D+00
       8.0000            0.00000D+00            0.00000D+00
      10.0000            0.27756D-16            0.16878D-15
      15.0000            0.00000D+00            0.00000D+00
      20.0000            0.13878D-16            0.16873D-15
      30.0000            0.00000D+00            0.00000D+00
      50.0000            0.69389D-17            0.21092D-15




               TESTING THE FUNCTION DEBYE2

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.22204D-15            0.22219D-15
       0.0313            0.11102D-15            0.11219D-15
       0.1250            0.11102D-15            0.11577D-15
       0.5000            0.00000D+00            0.00000D+00
       1.0000            0.11102D-15            0.15684D-15
       1.5000            0.22204D-15            0.37539D-15
       2.0000            0.55511D-16            0.11258D-15
       2.5000            0.11102D-15            0.27026D-15
       3.0000            0.22204D-15            0.64809D-15
       4.0000            0.55511D-16            0.23076D-15
       4.2500            0.00000D+00            0.00000D+00
       5.0000            0.00000D+00            0.00000D+00
       5.5000            0.00000D+00            0.00000D+00
       6.0000            0.27756D-16            0.21912D-15
       8.0000            0.00000D+00            0.00000D+00
      10.0000            0.00000D+00            0.00000D+00
      15.0000            0.00000D+00            0.00000D+00
      20.0000            0.00000D+00            0.00000D+00
      30.0000            0.00000D+00            0.00000D+00
      50.0000            0.00000D+00            0.00000D+00




               TESTING THE FUNCTION DEBYE3

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.22204D-15            0.22221D-15
       0.0313            0.11102D-15            0.11233D-15
       0.1250            0.00000D+00            0.00000D+00
       0.5000            0.22204D-15            0.26916D-15
       1.0000            0.00000D+00            0.00000D+00
       1.5000            0.22204D-15            0.40585D-15
       2.0000            0.00000D+00            0.00000D+00
       2.5000            0.55511D-16            0.15675D-15
       3.0000            0.55511D-16            0.19575D-15
       4.0000            0.55511D-16            0.30545D-15
       4.2500            0.00000D+00            0.00000D+00
       5.0000            0.27756D-16            0.23602D-15
       5.5000            0.00000D+00            0.00000D+00
       6.0000            0.13878D-16            0.17888D-15
       8.0000            0.69389D-17            0.18979D-15
      10.0000            0.34694D-17            0.17980D-15
      15.0000            0.00000D+00            0.00000D+00
      20.0000            0.43368D-18            0.17809D-15
      30.0000            0.00000D+00            0.00000D+00
      50.0000            0.27105D-19            0.17391D-15




               TESTING THE FUNCTION DEBYE4

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.22204D-15            0.22222D-15
       0.0313            0.11102D-15            0.11242D-15
       0.1250            0.11102D-15            0.11676D-15
       0.5000            0.11102D-15            0.13642D-15
       1.0000            0.11102D-15            0.16953D-15
       1.5000            0.00000D+00            0.00000D+00
       2.0000            0.22204D-15            0.53908D-15
       2.5000            0.11102D-15            0.34377D-15
       3.0000            0.11102D-15            0.44078D-15
       4.0000            0.16653D-15            0.10967D-14
       4.2500            0.27756D-16            0.20755D-15
       5.0000            0.00000D+00            0.00000D+00
       5.5000            0.13878D-16            0.19484D-15
       6.0000            0.69389D-17            0.12463D-15
       8.0000            0.34694D-17            0.15793D-15
      10.0000            0.17347D-17            0.17932D-15
      15.0000            0.00000D+00            0.00000D+00
      20.0000            0.00000D+00            0.00000D+00
      30.0000            0.00000D+00            0.00000D+00
      50.0000            0.00000D+00            0.00000D+00




               TESTING THE FUNCTION EXP3  

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.21684D-18            0.11102D-15
       0.0078            0.86736D-18            0.11102D-15
       0.0313            0.00000D+00            0.00000D+00
       0.1250            0.13878D-16            0.11108D-15
       0.5000            0.11102D-15            0.22895D-15
       1.0000            0.00000D+00            0.00000D+00
       1.2500            0.22204D-15            0.25555D-15
       1.5000            0.11102D-15            0.12494D-15
       1.8750            0.00000D+00            0.00000D+00
       2.0000            0.00000D+00            0.00000D+00
       2.1250            0.11102D-15            0.12433D-15
       2.2500            0.00000D+00            0.00000D+00
       2.5000            0.00000D+00            0.00000D+00
       2.7500            0.00000D+00            0.00000D+00
       3.0000            0.11102D-15            0.12433D-15
       3.1250            0.00000D+00            0.00000D+00
       3.2500            0.11102D-15            0.12433D-15
       3.5000            0.00000D+00            0.00000D+00
       3.7500            0.00000D+00            0.00000D+00
       4.0000            0.00000D+00            0.00000D+00




               TESTING THE FUNCTION GOODST

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.00000D+00            0.00000D+00
       0.0078            0.00000D+00            0.00000D+00
       0.0313            0.00000D+00            0.00000D+00
       0.1250            0.22204D-15            0.11245D-15
       0.5000            0.00000D+00            0.00000D+00
       1.0000            0.11102D-15            0.18347D-15
       1.2500            0.00000D+00            0.00000D+00
       1.5000            0.55511D-16            0.12447D-15
       1.8750            0.55511D-16            0.14865D-15
       2.0000            0.55511D-16            0.15666D-15
       2.1250            0.00000D+00            0.00000D+00
       2.5000            0.11102D-15            0.37716D-15
       3.0000            0.55511D-16            0.22034D-15
       3.5000            0.00000D+00            0.00000D+00
       4.0000            0.27756D-16            0.14179D-15
       4.5000            0.27756D-16            0.15756D-15
       5.0000            0.27756D-16            0.17330D-15
       5.7500            0.27756D-16            0.19690D-15
       6.0000            0.00000D+00            0.00000D+00
       7.0000            0.27756D-16            0.23619D-15




               TESTING THE FUNCTION I0INT 

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.00000D+00            0.00000D+00
      -0.0039            0.86736D-18            0.22204D-15
       0.0625            0.00000D+00            0.00000D+00
       0.1250            0.00000D+00            0.00000D+00
      -0.5000            0.00000D+00            0.00000D+00
       1.0000            0.00000D+00            0.00000D+00
       2.0000            0.44409D-15            0.16003D-15
      -4.0000            0.53291D-14            0.38686D-15
       8.0000            0.34106D-12            0.73466D-15
      18.0000            0.45635D-07            0.71180D-14
     -18.5000            0.14901D-07            0.14308D-14
      20.0000            0.37253D-07            0.83231D-15
     -21.0000            0.14901D-06            0.12572D-14
      22.0000            0.59605D-07            0.18964D-15
     -23.0000            0.95367D-06            0.11429D-14
      24.0000            0.10014D-04            0.45156D-14
      25.0000            0.47684D-05            0.80831D-15
     -27.0000            0.91553D-04            0.21873D-14
      30.0000            0.17090D-02            0.21482D-14
      40.0000            0.54000D+02            0.35786D-14




               TESTING THE FUNCTION I0ML0 

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.00000D+00            0.00000D+00
       0.0156            0.22204D-15            0.22426D-15
       0.1250            0.22204D-15            0.24026D-15
       0.5000            0.11102D-15            0.15080D-15
       1.0000            0.11102D-15            0.19974D-15
       2.0000            0.00000D+00            0.00000D+00
       4.0000            0.27756D-16            0.16244D-15
       8.0000            0.41633D-16            0.51348D-15
      12.0000            0.27756D-16            0.51929D-15
      16.0000            0.13878D-16            0.34738D-15
